State,Action,Value
88,1,0
88,2,0
88,3,0
89,0,0.4898412
89,1,0.2656995
89,2,0.3499567
89,3,0.3284996
90,0,0.4905709
90,1,0.4999607
90,2,0.4980463
90,3,0.460352
91,0,0.2706013
91,1,0.4999993
91,2,0.4999994
91,3,0.4999994
92,0,0.4467048
92,1,0.4376975
92,2,0.4966083
92,3,0.3799496
93,0,0.4936337
93,1,0.4999993
93,2,0.4976311
93,3,0.4999994
94,0,0.4981242
94,1,0.4999934
94,2,0.4855199
94,3,0.4878821
95,0,0.1849518
95,1,0.4999991
95,2,0.4999994
95,3,0.4999993
96,0,0
96,1,0
96,2,0
96,3,0
97,0,0
97,1,0
97,2,0
97,3,0
98,0,0
98,1,0
98,2,0
98,3,0
99,0,0.4999985
99,1,0.4999973
99,2,0.4999964
99,3,0.4999958
100,0,0
100,1,0
100,2,0
100,3,0
101,0,0.4860637
101,1,0.470922
101,2,0.4275568
101,3,0.423325
102,0,0.4999994
102,1,0.4999993
102,2,0.4999994
102,3,0.4999994
103,0,0.4999994
103,1,0.4999994
103,2,0.4999994
103,3,0.4999994
104,0,0
104,1,0
104,2,0
104,3,0
105,0,0.4999894
105,1,0.499906
105,2,0.4987943
105,3,0.4999988
106,0,0.4999576
106,1,0.4999756
106,2,0.4999518
106,3,0.4999879
107,0,0.4999986
107,1,0.4999973
107,2,0.4999977
107,3,0.4999977
108,0,0.4999924
108,1,0.4998706
108,2,0.4999993
108,3,0.4999992
109,0,0.4999993
109,1,0.4999993
109,2,0.4999994
109,3,0.4999994
110,0,0.4999994
110,1,0.4999993
110,2,0.4999981
110,3,0.4999994
111,0,0.4999992
111,1,0.4999994
111,2,0.4999994
111,3,0.4999994
112,0,0
112,1,0
112,2,0
112,3,0
113,0,0
113,1,0
113,2,0
113,3,0
114,0,0
114,1,0
114,2,0
114,3,0
115,0,0.4994294
115,1,0.4839236
115,2,0.466631
115,3,0.4401482
116,0,0
116,1,0
116,2,0
116,3,0
117,0,0.1405746
117,1,0.09434993
117,2,0.1499998
117,3,0.09434993
118,0,0.3225823
118,1,0.3125024
118,2,0.49909
118,3,0.368754
119,0,0.4999993
119,1,-0.1707839
119,2,0.499999
119,3,0.4999994
120,0,0
120,1,0
120,2,0
120,3,0
121,0,0.4159645
121,1,0.2034763
121,2,0.1036949
121,3,0.3284996
122,0,0.015
122,1,0
122,2,0
122,3,0.328499
123,0,0.4999993
123,1,-0.1047353
123,2,0.4999986
123,3,0.4987095
124,0,0.1979367
124,1,0.2946022
124,2,0.441175
124,3,0
125,0,0.4999978
125,1,0.4999667
125,2,0.4998371
125,3,0.4995999
126,0,0.4921131
126,1,0.04886567
126,2,0.4930556
126,3,0.4979962
127,0,0.4999993
127,1,0.48162
127,2,0.4999994
127,3,0.4999994
128,0,0
128,1,0
128,2,0
128,3,0
129,0,0
129,1,0
129,2,0
129,3,0
130,0,0
130,1,0
130,2,0
130,3,0
131,0,0.4999994
131,1,0.4999994
131,2,0.4999994
131,3,0.4999994
132,0,0
132,1,0
132,2,0
132,3,0
133,0,0.4999347
133,1,0.4971307
133,2,0.4999994
133,3,0.4989133
134,0,0.3498558
134,1,0.3798488
134,2,0.4798227
134,3,0.2728356
135,0,0.4999994
135,1,0.4999994
135,2,0.4999994
135,3,0.4999994
136,0,0
136,1,0
136,2,0
136,3,0
137,0,0.4999991
137,1,0.4999994
137,2,0.4999994
137,3,0.4999994
138,0,0.4999993
138,1,0.4999982
138,2,0.4999994
138,3,0.4999994
139,0,0.4999994
139,1,0.4999994
139,2,0.4999994
139,3,0.4999994
140,0,0.4978559
140,1,0.4984676
140,2,0.4999994
140,3,0.4995938
141,0,0.4999994
141,1,0.4999994
141,2,0.4999994
141,3,0.4999994
142,0,0.4999987
142,1,0.4999976
142,2,0.4999994
142,3,0.4999994
143,0,0.4999989
143,1,0.4999994
143,2,0.4999994
143,3,0.4999994
